cetsid,database_id,sector,input_name,topic,aggregation_method,periodicity,source,unit_of_measure,indicator_name,license_url,other_notes,license_type,long_definition,internal_poc,source_type,source1,source1_name,source2,source2_name,source3,source3_name,highest_frequency_production,highest_frequency_update,release_gap,si_nta,si_hhs,si_tps,si_ar,si_s,si_c,imputed_data,metadata_level,data_volatility,no_gap,expl_a,expl_b,expl_c,expl_d,expl_e,expl_f,expl_g,expl_h,wbgv1,bloomberg,msci,robescam,bssi
EG.ELC.COAL.ZS,2,ENV,Electricity production from coal sources (% of total),Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Electricity production from coal sources (% of total),http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,"Sources of electricity refer to the inputs used to generate electricity. Coal refers to all coal and brown coal, both primary (including hard coal and lignite-brown coal) and derived fuels (including patent fuel, coke oven coke, gas coke, coke oven gas, and blast furnace gas). Peat is also included in this category.",Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,1,0,1,0,0,0,1
EG.ELC.NUCL.ZS,2,ENV,Electricity production from nuclear sources (% of total),Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Electricity production from nuclear sources (% of total),http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,Sources of electricity refer to the inputs used to generate electricity. Nuclear power refers to electricity produced by nuclear power plants.,Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,1,0,0,1,0,0,0
EG.ELC.RNEW.ZS,2,ENV,Renewable electricity output (% of total electricity output),Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2018 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Renewable electricity output (% of total electricity output),http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,Renewable electricity is the share of electrity generated by renewable power plants in total electricity generated by all types of plants.,Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,0,1,0,0,0,1
EG.FEC.RNEW.ZS,2,ENV,Renewable energy consumption (% of total final energy consumption),Environment: Energy production & use,Weighted average,Annual,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",,Renewable energy consumption (% of total final energy consumption),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,Renewable energy consumption is the share of renewables energy in total final energy consumption.,Vinny,OTHER,IO; ITP; ETP,International Energy Agency,ITP,World Bank,ITP,World Bank,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,1,1,1,0,0
EG.GDP.PUSE.KO.PP,2,ENV,GDP per unit of energy use (PPP $ per kg of oil equivalent),Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,GDP per unit of energy use (PPP $ per kg of oil equivalent),http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,GDP per unit of energy use is the PPP GDP per kilogram of oil equivalent of energy use. PPP GDP is gross domestic product converted to current international dollars using purchasing power parity rates based on the 2011 ICP round. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.,Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0
EG.IMP.CONS.ZS,2,ENV,"Energy imports, net (% of energy use)",Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,"Energy imports, net (% of energy use)",http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,"Net energy imports are estimated as energy use less production, both measured in oil equivalents. A negative value indicates that the country is a net exporter. Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,1,0,1,1,1,0,0
EG.USE.COMM.FO.ZS,2,ENV,Fossil fuel energy consumption (% of total),,,,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,,,,,,Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,0,1,0,0,0,0
EG.USE.PCAP.KG.OE,2,ENV,Energy use (kg of oil equivalent per capita),Environment: Energy production & use,Weighted average,Annual,"IEA Statistics À_À_ OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Energy use (kg of oil equivalent per capita),http://www.iea.org/t&c/termsandconditions,,Use and distribution of these data are subject to IEA terms and conditions.,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",Vinny,OTHER,IO,International Energy Agency,IO,International Energy Agency,IO,International Energy Agency,yearly,yearly,,1,0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,0,1,0,1,0,0
EN.ATM.CO2E.KT,2,ENV,CO2 emissions (kt),Environment: Emissions,Gap-filled total,Annual,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.",,CO2 emissions (kt),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",Vinny,OTHER,ETP,Carbon Dioxide Information Analysis Center,ETP,Carbon Dioxide Information Analysis Center,ETP,Carbon Dioxide Information Analysis Center,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0
EN.ATM.CO2E.PC,2,ENV,CO2 emissions (metric tons per capita),Environment: Emissions,Weighted average,Annual,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.",,CO2 emissions (metric tons per capita),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",Vinny,OTHER,ETP,Carbon Dioxide Information Analysis Center,ETP,Carbon Dioxide Information Analysis Center,ETP,Carbon Dioxide Information Analysis Center,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,1
EN.ATM.GHGT.KT.CE,2,ENV,Total greenhouse gas emissions (kt of CO2 equivalent),Environment: Emissions,Sum,Annual,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR), EDGARv4.2 FT2012: http://edgar.jrc.ec.europa.eu/",,Total greenhouse gas emissions (kt of CO2 equivalent),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Total greenhouse gas emissions in kt of CO2 equivalent are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6).",Vinny,OTHER,ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL)",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL)",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL)",every three years,every three years,,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0
EN.ATM.METH.PC,75,ENV,Methane emissions (metric tons of CO2 equivalent per capita),,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",,,,,,,Vinny,OTHER,ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL)",,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
EN.ATM.NOXE.KT.CE,2,ENV,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment: Emissions,Sum,Annual,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Nitrous oxide emissions are emissions from agricultural biomass burning, industrial activities, and livestock management.",Vinny,OTHER,ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",every three years,every three years,,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0
EN.ATM.NOXE.PC,75,ENV,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),,,,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",,,,,,,Vinny,OTHER,ETP,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL).",every three years,every three years,,0,0,1,0,0,0,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
EN.ATM.PM10.MC.M3,57,ENV,"PM10, country level (micrograms per cubic meter)",Environment: Emissions,Weighted average,Annual,"Kiran Dev Pandey, David Wheeler, Bart Ostro, Uwe Deichmann, Kirk Hamilton, and Katherine Bolt. ""Ambient Particulate Matter Concentrations in Residential and Pollution Hotspot Areas of World Cities: New Estimates Based on the Global Model of Ambient Particulates (GMAPS),"" World Bank, Development Research Group and Environment Department (2006).",,"PM10, country level (micrograms per cubic meter)",https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Particulate matter concentrations refer to fine suspended particulates less than 10 microns in diameter (PM10) that are capable of penetrating deep into the respiratory tract and causing significant health damage. Data for countries and aggregates for regions and income groups are urban-population weighted PM10 levels in residential areas of cities with more than 100,000 residents. The estimates represent the average annual exposure level of the average urban resident to outdoor particulate matter. The state of a country's technology and pollution controls is an important determinant of particulate matter concentrations.",Vinny,WBG,ITP,World Bank,ITP,World Bank,ITP ,World Bank,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0
EN.ATM.PM25.MC.M3,2,ENV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Environment: Emissions,Weighted average,Annual,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.",Vinny,OTHER,ETP,Institute for Health Metrics,ETP,Institute for Health Metrics,ETP,Institute for Health Metrics,every other year,every other year,,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,1
EN.CLC.CDDY.XD,75,ENV,Cooling Degree Days,,,,IPCC,,,,Data are projections for 2040-2059,,,Vinny,OTHER,,IPCC,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EN.CLC.GHGR.MT.CE,2,ENV,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),Environment: Emissions,,Annual,United Nations Framework Convention on Climate Change.,,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"GHG net emissions/removals by LUCF refers to changes in atmospheric levels of all greenhouse gases attributable to forest and land-use change activities, including but not limited to (1) emissions and removals of CO2 from decreases or increases in biomass stocks due to forest management, logging, fuelwood collection, etc.; (2) conversion of existing forests and natural grasslands to other land uses; (3) removal of CO2 from the abandonment of formerly managed lands (e.g. croplands and pastures); and (4) emissions and removals of CO2 in soil associated with land-use change and management. For Annex-I countries under the UNFCCC, these data are drawn from the annual GHG inventories submitted to the UNFCCC by each country; for non-Annex-I countries, data are drawn from the most recently submitted National Communication where available. Because of differences in reporting years and methodologies, these data are not generally considered comparable across countries. Data are in million metric tons.",Vinny,UN,IO,United Nations Framework Convention on Climate Change,IO,United Nations Framework Convention on Climate Change,IO,United Nations Framework Convention on Climate Change,yearly,yearly,,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,1
EN.CLC.HEAT.XD,75,ENV,Health index 35,,,,IPCC,,,,Data are projections for 2040-2059.,,,Vinny,OTHER,,IPCC,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EN.CLC.MDAT.ZS,2,ENV,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Environment: Land use,,Annual,"EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Universit?À_ Catholique de Louvain, Brussels (Belgium), World Bank.",,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events. A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property. A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.",Vinny,OTHER,ETP,Centre for Research on the Epidemiology of Disasters (CRED)À_,ETP,Centre for Research on the Epidemiology of Disasters (CRED)À_,ETP,Centre for Research on the Epidemiology of Disasters (CRED)À_,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0,0,0,1
EN.CLC.PRCP.XD,75,ENV,Maximum 5-day Rainfall (25-yr RL),,,,IPCC,,,,Data are projections for 2040-2059,,,Vinny,OTHER,,IPCC,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EN.CLC.SPEI.XD,75,ENV,Mean drought index (SPEI),,,,Consejo Superior de Investigaciones CientÀ_ficas (CSIC)À_,,,,,,,Vinny,OTHER,,Consejo Superior de Investigaciones CientÀ_ficas (CSIC)À_,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EN.MAM.THRD.NO,2,ENV,"Mammal species, threatened",,,,"United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species.",,,,,,,Vinny,OTHER,,National Center for Atmospheric Research,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EN.POP.DNST,2,ENV,Population density (people per sq. km of land area),Environment: Density & urbanization,Weighted average,Annual,Food and Agriculture Organization and World Bank population estimates.,,Population density (people per sq. km of land area),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",Vinny,UN,IO; ITP,Food and Agriculture Organization,ITP,World Bank,ITP,World Bank,yearly,yearly,,1,0,1,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1
EN.POP.EL5M.ZS,2,ENV,Population living in areas where elevation is below 5 meters (% of total population),Environment: Land use,Weighted average,Annual,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",,Population living in areas where elevation is below 5 meters (% of total population),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,Population below 5m is the percentage of the total population living in areas where the elevation is 5 meters or less.,Vinny,OTHER,ETP,Center for International Earth Science Information Network (CIESIN)/Columbia University,ETP,Center for International Earth Science Information Network (CIESIN)/Columbia University,ETP,Center for International Earth Science Information Network (CIESIN)/Columbia University,every three years,every three years,,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENF.CONT.COEN.COST.ZS,1,GOV,Cost to enforce a contract (% of claim) ,,,,World Bank,,,,,,,Florina,WBG,IO,World Bank,IO,World Bank,IO,World Bank,yearly,yearly,,0,0,1,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ER.BDV.TOTL.XQ,57,ENV,GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),Environment: Biodiversity & protected areas,,Annual,"Kiran Dev Pandey, Piet Buys, Ken Chomitz, and David Wheeler's, ""Biodiversity Conservation Indicators: New Tools for Priority Setting at the Global Environment Facility"" (2006).",,GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"GEF benefits index for biodiversity is a composite index of relative biodiversity potential for each country based on the species represented in each country, their threat status, and the diversity of habitat types in each country. The index has been normalized so that values run from 0 (no biodiversity potential) to 100 (maximum biodiversity potential).",Vinny,OTHER,ETP,Global Environment Facility,ETP,Global Environment Facility,ETP,Global Environment Facility,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ER.H2O.FWTL.ZS,2,ENV,"Annual freshwater withdrawals, total (% of internal resources)",Environment: Freshwater,Weighted average,Annual,"Food and Agriculture Organization, AQUASTAT data.",,"Annual freshwater withdrawals, total (% of internal resources)",https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,"Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",Vinny,UN,IO,Food and Agriculture Organization,IO,Food and Agriculture Organization,IO,Food and Agriculture Organization,every other year,every other year,,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,1,1,0,1
ER.H2O.INTR.K3,2,ENV,"Renewable internal freshwater resources, total (billion cubic meters)",Environment: Freshwater,Sum,Annual,"Food and Agriculture Organization, AQUASTAT data.",,"Renewable internal freshwater resources, total (billion cubic meters)",https://datacatalog.worldbank.org/public-licenses#cc-by,,CC BY-4.0,Renewable internal freshwater resources flows refer to internal renewable resources (internal river flows and groundwater from rainfall) in the country.,Vinny,UN,IO,Food and Agriculture Organization,IO,Food and Agriculture Organization,IO,Food and Agriculture Organization,every other year,every other year,,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0
